,ZAR/USD,Value of Exports (USD),Value of Exports (ZAR),Value of Imports (USD),Value of Imports (ZAR),IMF Reserve Position (USD),Foreign Exchange (USD),Claims on Non-residents (USD),Liabilities to Non-residents (USD),Consumer Price Index
2008M01,7.01,5611.9,39356.82,8105.11,56841.94,1.92,29526.78,51547.61,37752.29,85.48
2008M02,7.66,6126.16,46946.33,8159.43,62527.78,2.01,29943.04,59702.31,45927.67,85.91
2008M03,7.97,6417.48,51150.89,8010.87,63851.12,2.05,30246.54,56448.18,42565.17,87.04
2008M04,7.79,7215.71,56174.34,9112.97,70944.49,2.03,30399.21,55534.75,43342.7,87.61
2008M05,7.62,7379.67,56240.45,9090.14,69275.97,2.1,30467.81,57682.89,46533.13,88.32
2008M06,7.92,7595.95,60159.93,8379.54,66365.94,2.12,30736.15,59080.19,47366.49,89.6
2008M07,7.63,8034.45,61268.16,10589.92,80755.37,2.1,30936.15,54258.57,44740.78,90.88
2008M08,7.66,7882.49,60390.94,8995.88,68921.01,2.09,30614.02,49661.08,41108.47,91.44
2008M09,8.06,7579.28,61067.34,8928.3,71936.53,2.07,30482.71,50309.76,40608.04,92.01
2008M10,9.74,6737.19,65652.57,8141.32,79335.56,1.98,29600.99,55934.07,48338.35,92.3
2008M11,10.1,5335.24,53877.9,6910.18,69782.47,2,29604.44,54700.75,43913.7,92.3
2008M12,9.97,4866.64,48541.09,6108.6,60928.72,2.07,30237.83,56996.35,48065.7,92.15
2009M01,9.9,3662.05,36251.75,6295.88,62324.8,2.03,29674.31,53435.7,46028.49,92.72
2009M02,10.01,4403.4,44061.75,4725.01,47279.82,1.99,29602.39,50953.92,43800.44,93.57
2009M03,10.47,4991.65,52267.6,5322.34,55730.27,2.02,30040.34,51463.15,44624.8,94.99
2009M04,9,4519.21,40656.33,5231.04,47060.18,2.09,30139.63,52079.72,46358.49,95.42
2009M05,8.38,4947.93,41456.8,5185.04,43443.4,2.18,31556.98,55650.92,47600.68,95.7
2009M06,8.05,5348.97,43039.15,5606.19,45108.77,2.19,31600.65,53382.51,45023.13,95.99
2009M07,7.95,5591.78,44461.89,6769.65,53827.52,2.19,31612.43,53053.83,44346.3,96.98
2009M08,7.94,5025.91,39880.63,6002.06,47626.38,2.27,31601.67,53045.78,43512,97.27
2009M09,7.52,6054.28,45535.41,6403.29,48160.35,2.32,32251.21,52800.41,44579.34,97.55
2009M10,7.48,5891.8,44088.89,7656.58,57294.89,2.33,32721.66,52536.14,42245.6,97.55
2009M11,7.52,6100.17,45855.86,7452.62,56022.42,2.36,32870.52,53759.07,43151.83,97.55
2009M12,7.48,6065.55,45361.67,6522.37,48778.02,2.3,32431.84,51249.87,42138.66,97.83
2010M01,7.46,5663.29,42222.67,5775.89,43062.14,2.28,32309.73,50152.41,43232.92,98.12
2010M02,7.67,6060.12,46452.33,6331.84,48535.11,2.27,32210.37,49504.14,41813.88,98.69
2010M03,7.41,7655.01,56732.74,7319.67,54247.5,2.25,34779.28,52713.3,43300.27,99.54
2010M04,7.35,6648.61,48881.26,6635.44,48784.42,2.24,34887.72,46187.14,38142.94,99.54
2010M05,7.65,6898.79,52782.61,6571.87,50281.38,2.25,34400.92,44620.41,36636.05,99.82
2010M06,7.63,7990.45,60991.85,6893.44,52618.31,2.26,34555.5,44334.58,35813.43,99.82
2010M07,7.53,8238.88,62026.96,7620.14,57368.75,2.32,35679.89,49978.31,39806.39,100.39
2010M08,7.3,7474.4,54561.33,7723.22,56377.65,2.3,35422.52,50676.87,40939.33,100.53
2010M09,7.13,8351.48,59514.74,7336.47,52281.54,2.44,35979.8,54376.69,44604.17,100.67
2010M10,6.91,8673.11,59924.36,8117.12,56082.87,2.54,35937.54,57311.57,46010.41,100.82
2010M11,6.98,8909.33,62214.34,7826.78,54654.81,2.46,35102.59,56069.63,41962.31,100.96
2010M12,6.84,8783.69,60077.57,6776.84,46351.36,2.49,35418.75,57520.1,46846.9,101.1
2011M01,6.92,7307.33,50589.55,7511.6,52003.7,2.52,37338.21,50316.89,38188.05,101.67
2011M02,7.17,8076.64,57934.09,7996.46,57359.01,2.54,38823.5,50143.68,38989.57,102.24
2011M03,6.92,9610,66490.02,8863.05,61322.04,2.62,40673.98,49810.52,38537.52,103.51
2011M04,6.74,8777.87,59138.45,8308.7,55977.56,2.68,41525.1,51744.77,43144.51,103.8
2011M05,6.87,9028.33,62005.07,8889.79,61053.61,2.64,41100.96,48178.28,36759.22,104.37
2011M06,6.8,10046.5,68288.05,8637.9,58713.52,2.73,41119.51,49601.15,36681.14,104.93
2011M07,6.8,9493.86,64545.09,9271.74,63034.96,2.82,40748.6,49237.23,37082.86,105.79
2011M08,7.07,9623.89,68025.51,9640.45,68142.52,2.84,41232.82,54918.87,40536.41,105.79
2011M09,7.57,10142.41,76780.08,9212.29,69738.88,2.84,40412.98,54386.16,40759.54,106.35
2011M10,7.97,8707.33,69388.71,9442.36,75246.19,2.89,40422.61,57269.67,41976.72,107.06
2011M11,8.13,9468.44,77011.38,9956.8,80983.47,2.82,39981.87,56595.92,40230.66,107.21
2011M12,8.18,8533.51,69775.24,7570.64,61902.22,2.79,39847.11,57421.87,40289.15,107.49
2012M01,8.01,7461.12,59738.68,8974.12,71852.74,2.82,41691.56,56477.11,40552.47,108.06
2012M02,7.66,8601.9,65881.18,8771.81,67182.51,2.83,41929.08,53818.26,41986.03,108.63
2012M03,7.61,9165.76,69757.79,9301.33,70789.6,2.82,41209.52,51010.36,38320.04,109.76
2012M04,7.83,7657.4,59984.38,8416.85,65933.51,56.63,40446.24,50082.47,37507.18,110.33
2012M05,8.15,8701.92,70949.4,9399.28,76635.17,55.15,39869.9,53101.65,38519.72,110.33
2012M06,8.39,8478.56,71126.23,8555.56,71772.11,55.42,40148,56473.16,38784.66,110.76
2012M07,8.25,8544.36,70478.5,9142.51,75412.37,55.16,40114.52,59580.98,40948.89,110.9
2012M08,8.28,8561.66,70857.29,9579.82,79283.71,58.86,40534.84,55512.44,37540.41,111.32
