,Central Bank Policy Rate,Money Market Rate,Treasury Bill Rate,Savings Rate,Deposit Rate,Lending Rate,Government Bonds
2008M01,11.0,10.64,10.47,4.53,10.83,14.5,8.36
2008M02,11.0,10.66,10.32,5.61,11.0,14.5,8.69
2008M03,11.0,10.69,10.18,5.62,11.04,14.5,9.16
2008M04,11.5,11.0,10.27,5.8,11.28,15.0,9.15
2008M05,11.5,11.2,10.6,6.5,11.39,15.0,9.51
2008M06,12.0,11.49,11.42,7.13,11.74,15.5,10.35
2008M07,12.0,11.7,11.38,7.22,12.01,15.5,10.1
2008M08,12.0,11.69,11.35,7.24,11.93,15.5,9.2
2008M09,12.0,11.71,11.15,7.06,12.08,15.5,9.04
2008M10,12.0,11.77,10.93,7.31,12.25,15.5,9.24
2008M11,12.0,11.8,10.85,6.57,12.08,15.5,8.58
2008M12,11.5,11.54,10.77,6.96,11.72,15.0,7.82
2009M01,11.5,11.27,10.66,7.28,11.34,15.0,7.85
2009M02,10.5,10.47,9.22,6.65,10.59,14.0,8.26
2009M03,9.5,10.02,8.62,5.89,10.7,13.0,8.43
2009M04,9.5,9.26,8.28,5.72,9.21,13.0,8.57
2009M05,7.5,8.25,7.68,4.61,8.32,11.0,8.7
2009M06,7.5,7.26,7.23,4.33,7.91,11.0,8.88
2009M07,7.5,7.24,7.39,4.33,7.88,11.0,9.11
2009M08,7.0,6.97,7.16,4.11,7.56,10.5,8.8
2009M09,7.0,6.76,6.94,3.92,7.18,10.5,8.7
2009M10,7.0,6.76,6.95,3.93,7.25,10.5,9.11
2009M11,7.0,6.77,7.01,3.78,7.3,10.5,9.0
2009M12,7.0,6.8,7.07,3.69,7.2,10.5,9.03
2010M01,7.0,6.78,7.11,3.98,7.22,10.5,9.24
2010M02,7.0,6.76,7.08,3.91,7.22,10.5,9.11
2010M03,6.5,6.7,6.95,3.0,7.06,10.0,8.92
2010M04,6.5,6.28,6.59,3.73,6.79,10.0,8.75
2010M05,6.5,6.27,6.58,2.63,6.76,10.0,8.97
2010M06,6.5,6.27,6.54,3.06,6.75,10.0,8.99
2010M07,6.5,6.26,6.48,3.01,6.72,10.0,8.78
2010M08,6.5,6.27,6.42,2.81,6.57,10.0,8.17
2010M09,6.0,5.95,6.08,2.62,6.25,9.5,7.92
