,Value of Exports (USD),Value of Exports (ZAR),"Value of Imports, CIF (USD)","Value of Imports, CIF (ZAR)","Value of Imports, FOB (ZAR)","Value of Imports, FOB (USD)"
2008M01,5611.9,39356.82,8105.11,56841.94,49573.22,7068.66
2008M02,6126.16,46946.33,8159.43,62527.78,52766.09,6885.6
2008M03,6417.48,51150.89,8010.87,63851.12,56181.04,7048.57
2008M04,7215.71,56174.34,9112.97,70944.49,66169.0,8499.55
2008M05,7379.67,56240.45,9090.14,69275.97,57900.04,7597.43
2008M06,7595.95,60159.93,8379.54,66365.94,60343.84,7619.17
2008M07,8034.45,61268.16,10589.92,80755.37,75599.59,9913.82
2008M08,7882.49,60390.94,8995.88,68921.01,65514.39,8551.23
2008M09,7579.28,61067.34,8928.3,71936.53,68179.24,8461.97
2008M10,6737.19,65652.57,8141.32,79335.56,71810.53,7369.11
2008M11,5335.24,53877.9,6910.18,69782.47,60757.78,6016.52
2008M12,4866.64,48541.09,6108.6,60928.72,50176.82,5030.64
2009M01,3662.05,36251.75,6295.88,62324.8,53631.46,5417.7
2009M02,4403.4,44061.75,4725.01,47279.82,44632.44,4460.43
2009M03,4991.65,52267.6,5322.34,55730.27,52478.21,5011.77
2009M04,4519.21,40656.33,5231.04,47060.18,42112.41,4681.06
2009M05,4947.93,41456.8,5185.04,43443.4,39437.16,4706.89
2009M06,5348.97,43039.15,5606.19,45108.77,39817.53,4948.58
2009M07,5591.78,44461.89,6769.65,53827.52,44015.13,5535.59
2009M08,5025.91,39880.63,6002.06,47626.38,42361.87,5338.61
2009M09,6054.28,45535.41,6403.29,48160.35,41664.31,5539.59
2009M10,5891.8,44088.89,7656.58,57294.89,50797.62,6788.32
2009M11,6100.17,45855.86,7452.62,56022.42,48330.43,6429.36
2009M12,6065.55,45361.67,6522.37,48778.02,41692.85,5574.98
2010M01,5663.29,42222.67,5775.89,43062.14,41701.05,5593.33
2010M02,6060.12,46452.33,6331.84,48535.11,47800.76,6236.03
