,"ZAR/SDR, End of Period","ZAR/SDR, Period Average","ZAR/USD, End of Period","ZAR/USD, Period Average","Nominal Effective Exchange Rate, Trade Partners by Consumer Price Index","Real Effective Exchange Rate, based on Consumer Price Index"
2008M01,11.85,11.11,7.43,7.01,99.77,89.48
2008M02,12.44,12.15,7.73,7.66,90.93,81.68
2008M03,13.32,13.01,8.1,7.97,84.94,76.68
2008M04,12.33,12.74,7.6,7.79,86.5,78.43
2008M05,12.33,12.37,7.61,7.62,89.12,81.04
2008M06,12.77,12.82,7.82,7.92,85.94,78.76
2008M07,11.88,12.44,7.33,7.63,88.42,81.4
2008M08,12.1,12.14,7.71,7.66,90.7,84.16
2008M09,12.88,12.53,8.27,8.06,89.27,83.3
2008M10,15.05,14.76,10.11,9.74,78.01,73.19
2008M11,15.08,14.98,10.14,10.1,77.62,73.54
2008M12,14.33,15.17,9.31,9.97,76.47,72.77
2009M01,15.36,15.05,10.2,9.9,77.85,74.23
2009M02,14.75,14.87,10.05,10.01,78.72,75.71
2009M03,14.2,15.53,9.5,10.47,75.36,73.01
2009M04,12.68,13.44,8.47,9.0,86.0,83.74
2009M05,12.31,12.74,7.95,8.38,89.53,87.5
2009M06,11.93,12.43,7.69,8.05,91.33,89.41
2009M07,12.12,12.34,7.81,7.95,92.04,90.65
2009M08,12.19,12.38,7.79,7.94,91.22,89.94
2009M09,11.79,11.87,7.44,7.52,94.92,94.05
2009M10,12.26,11.89,7.71,7.48,94.1,93.3
2009M11,11.96,12.03,7.43,7.52,93.02,92.28
2009M12,11.57,11.83,7.38,7.48,94.56,94.04
2010M01,11.74,11.67,7.56,7.46,95.64,95.03
2010M02,11.82,11.79,7.72,7.67,95.1,94.8
2010M03,11.14,11.32,7.34,7.41,98.43,98.13
2010M04,11.08,11.15,7.33,7.35,99.52,99.26
2010M05,11.2,11.32,7.6,7.65,99.15,99.18
2010M06,11.3,11.21,7.64,7.63,100.63,100.62
2010M07,11.14,11.32,7.34,7.53,99.14,99.25
2010M08,11.19,11.08,7.42,7.3,101.04,101.23
2010M09,10.86,10.88,6.98,7.13,102.5,102.68
2010M10,10.95,10.85,6.97,6.91,101.98,102.22
2010M11,10.88,10.91,7.13,6.98,101.61,101.92
2010M12,10.21,10.5,6.63,6.84,105.25,105.67
2011M01,11.21,10.71,7.18,6.92,103.21,103.67
2011M02,10.95,11.21,6.96,7.17,98.36,98.86
2011M03,10.77,10.93,6.79,6.92,100.69,101.39
2011M04,10.69,10.77,6.59,6.74,101.55,102.34
2011M05,10.98,10.97,6.86,6.87,99.64,100.84
2011M06,10.91,10.87,6.82,6.8,100.42,102.0
2011M07,10.77,10.84,6.73,6.8,100.45,102.28
2011M08,11.33,11.35,7.04,7.07,96.26,98.27
2011M09,12.62,11.92,8.08,7.57,92.46,94.64
2011M10,12.42,12.54,7.83,7.97,88.32,90.78
2011M11,12.92,12.74,8.33,8.13,87.0,89.78
2011M12,12.5,12.64,8.14,8.18,87.77,90.82
2012M01,12.07,12.3,7.78,8.01,89.99,93.44
